job_id,generation,timestamp,source_url,http_status,page_status,job_title,screen_decision,matched_terms,excluded_terms,african_language,other_language,market_named,city_named,country_of_city,notes
7621693567735810357,lifeattiktok,20260615205938,https://lifeattiktok.com/search/7621693567735810357?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7621699366710446389,lifeattiktok,20260615205936,https://lifeattiktok.com/search/7621699366710446389?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7621829063973472517,lifeattiktok,20260515023708,https://lifeattiktok.com/search/7621829063973472517,200,detail,Monetization Strategy & Operations Manager - Global Business Solutions (MSO) - METAP,drop,,,,,,,,
7623154260240255237,lifeattiktok,20260515013639,https://lifeattiktok.com/search/7623154260240255237?spread=XKM9ZXE,200,detail,"Program Manager, North America - Trust and Safety",include,trust and safety,,,,,,,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20260515013639id_/https://lif"
7623166673809770757,lifeattiktok,20260515005530,https://lifeattiktok.com/search/7623166673809770757,200,detail,Machine Learning Engineer Intern (App Ads) - 2026 Fall (BS/MS),drop,,,,,,,,
7623247457581140277,lifeattiktok,20260506084631,https://lifeattiktok.com/search/7623247457581140277?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7623278738259593525,lifeattiktok,20260615205938,https://lifeattiktok.com/search/7623278738259593525?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7623293300594149637,lifeattiktok,20260615205939,https://lifeattiktok.com/search/7623293300594149637?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7623442583347267893,lifeattiktok,20260708133243,https://lifeattiktok.com/search/7623442583347267893,200,detail,Europe Indirect Tax Manager,drop,,,,,Europe,,,
7623465908673202485,lifeattiktok,20260615205936,https://lifeattiktok.com/search/7623465908673202485?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7623523061015136565,lifeattiktok,20260415175804,https://lifeattiktok.com/search/7623523061015136565,200,detail,"Senior Backend Software Engineer, Global E-commerce Core Shopping",drop,,,,,,,,
7623733872967059765,lifeattiktok,20260515014003,https://lifeattiktok.com/search/7623733872967059765,200,detail,Brand Partnerships Manager - Consumer - Turkey - Global Business Solutions,drop,,,,,Turkey,,,
7623838710577989893,lifeattiktok,20260515010353,https://lifeattiktok.com/search/7623838710577989893,200,detail,Revenue Growth Strategy & Operations Manager - TikTok LIVE - Dubai (Chinese-speaking),drop,,,,chinese,MENA,Dubai,United Arab Emirates,
7623873788948089093,lifeattiktok,20260515011623,https://lifeattiktok.com/search/7623873788948089093,200,detail,Client Solutions Manager - Consumer (Turkish Speaking) - Global Business Solutions - METAP,drop,,,,turkish,,,,
7623959020277991685,lifeattiktok,20260609054021,https://lifeattiktok.com/search/7623959020277991685,200,detail,Multimedia Arch Senior Frontend Engineer,drop,,,,,,,,
7624226452934379781,lifeattiktok,20260422030008,https://lifeattiktok.com/search/7624226452934379781?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,
7624284785283746053,lifeattiktok,20260506185324,https://lifeattiktok.com/search/7624284785283746053,200,detail,Software Engineer Project Intern (Model Infrastructure) - 2026 Start (BS/MS),drop,,,,,,,,
7624475564505860357,lifeattiktok,20260515020947,https://lifeattiktok.com/search/7624475564505860357,200,detail,"Measurement Lead, Global Monetization Product and Technology, Regional",drop,,,,,,,,
7625737306751813893,lifeattiktok,20260519211139,https://lifeattiktok.com/search/7625737306751813893?utm_source=bandana,200,detail,"Global Monetization Product Counsel, Ads",drop,,,,,,,,
7625928030560700725,lifeattiktok,20260515011933,https://lifeattiktok.com/search/7625928030560700725,200,detail,(General Hire) Research Scientist Intern (TikTok Recommendation) - 2026 Start (PhD),drop,,,,,,,,
7625929879091300613,lifeattiktok,20260515012001,https://lifeattiktok.com/search/7625929879091300613,200,detail,(General Hire) Machine Learning Engineer Intern (TikTok-Recommendation) - 2026 Fall (BS/MS),drop,,,,,,,,
7625930920206272773,lifeattiktok,20260515014028,https://lifeattiktok.com/search/7625930920206272773,200,detail,Machine Learning Scientist Intern (TikTok-Recommendation) - 2026 Start (PhD),drop,,,,,,,,
7626184811367483653,lifeattiktok,20260710212812,https://lifeattiktok.com/search/7626184811367483653,200,detail,Network Engineer Graduate (Technical Infrastructures) - 2027 Start (BS/MS),drop,,,,,,,,
7626306561301612805,lifeattiktok,20260506084630,https://lifeattiktok.com/search/7626306561301612805?_rsc=1m3ql,200,js_shell,,unusable,,,,,,,,"HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /web/20260506084630id_/https://lif"
