platform,job_id,source_url,capture_date,job_title,employer,location_raw,primary_city,primary_country,region_group,multi_location,evidence_level,screen_decision,matched_terms,african_language,other_language,market_named,notes
TikTok,7399638481338960165,https://lifeattiktok.com/search/7399638481338960165,2025-04-06,"Content Moderator (Feature - Push) - Urdu Speaking, Malaysia - Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety; content moderat*; moderat*,,urdu,Malaysia,page_status=detail
TikTok,7399771329594296627,https://lifeattiktok.com/search/7399771329594296627,2026-01-24,"Policy Manager, Cross Issue & Product - Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety; policy manager,,,,page_status=detail
TikTok,7400191947107092773,https://lifeattiktok.com/search/7400191947107092773,2025-07-20,Quality Assurance - English Speaking - Trust and Safety,TikTok,,,,,no,title_only,include,trust and safety,,english,,page_status=detail
TikTok,7402186468313336101,https://lifeattiktok.com/search/7402186468313336101,2025-09-08,ADSEO Safety Ops Quality Analyst - Traditional Mandarin Speaker - Trust and Safety,TikTok,,,,,no,title_only,include,trust and safety; quality analyst,,mandarin,,page_status=detail
TikTok,7402499095930226971,https://lifeattiktok.com/search/7402499095930226971,2025-04-03,"Content Moderator (Feature - Badness) - Urdu Speaking, Malaysia - Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety; content moderat*; moderat*,,urdu,Malaysia,page_status=detail
TikTok,7403129603608873253,https://lifeattiktok.com/search/7403129603608873253?spread=5MWH5CQ,2025-04-27,"Global Policy Lead, Violent Behaviors & Dangerous Actors - Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety; policy lead,,,,page_status=detail
TikTok,7403789005329189170,https://lifeattiktok.com/search/7403789005329189170,2025-12-11,"TikTok Shop - Chief of Staff, eCommerce Content and Creator Governance",TikTok,,,,,no,title_only,include,governance,,,,page_status=detail
TikTok,7405079046089017610,https://lifeattiktok.com/search/7405079046089017610,2024-12-17,"Software Development Engineer in Test - Trust and Safety, TikTok",TikTok,,,,,no,title_only,include,trust and safety,,,,page_status=detail
TikTok,7405333572192930085,https://lifeattiktok.com/search/7405333572192930085?spread=5MWH5CQ,2025-03-15,TikTok Shop - Strategy Product Manager Anti-Fraud Intelligence Solutions - USDS,TikTok,,,,,no,title_only,include,fraud,,,,page_status=detail
TikTok,7405837086333897011,https://lifeattiktok.com/search/7405837086333897011,2025-04-27,"Policy Manager - Pakistan, Trust and Safety",TikTok,,,,,no,title_only,include,trust and safety; policy manager,,,Pakistan,page_status=detail
TikTok,7408098545339369765,https://lifeattiktok.com/search/7408098545339369765,2025-04-17,"Senior Product Operations Manager, Governance & Experience - Local Services (Singapore)",TikTok,Singapore,Singapore,Singapore,Hub,no,title_only,include,governance,,,Singapore,page_status=detail
TikTok,7413359313924344091,https://lifeattiktok.com/search/7413359313924344091,2025-06-13,Public Policy Manager - Global Public Policy- Nepal,TikTok,,,,,no,title_only,include,policy manager; public policy,,,,page_status=detail
TikTok,7413985794476329253,https://lifeattiktok.com/search/7413985794476329253,2025-04-30,Public Policy Leader - Singapore,TikTok,Singapore,Singapore,Singapore,Hub,no,title_only,include,public policy,,,Singapore,page_status=detail
TikTok,7414000297331689766,https://lifeattiktok.com/search/7414000297331689766,2025-07-31,"Model Policy Lead - Video Policy, Trust & Safety",TikTok,,,,,no,title_only,include,trust & safety; policy lead,,,,page_status=detail
TikTok,7414267899827472691,https://lifeattiktok.com/search/7414267899827472691,2024-12-08,TikTok Shop - Head of Global Moderation Services,TikTok,,,,,no,title_only,include,moderat*,,,,page_status=detail
TikTok,7416033862087985435,https://lifeattiktok.com/search/7416033862087985435,2024-12-17,Commerce - Moderation Strategy Operations Program Manager,TikTok,,,,,no,title_only,include,moderat*,,,,page_status=detail
TikTok,7416748599410919706,https://lifeattiktok.com/search/7416748599410919706,2024-11-23,Head of E-Commerce Europe - Public Policy Europe,TikTok,,,,,no,title_only,include,public policy,,,Europe,page_status=detail
